device_id;device_serial;model;timestamp;error_code;error_description;mileage;toner_level;drum_level;fault_history
MFP-00077;9c934e5715bc;Xerox WorkCentre 5845;2026-01-08 06:00:12;07-535-00;07-535-00 Tray 5 (Bypass) is empty. User intervention is required to add paper to Tray 5. Print and Copy services can continue if the correct paper is available in other trays.;468966;5;37;319
MFP-00077;9c934e5715bc;Xerox WorkCentre 5845;2026-01-08 06:00:12;17-562-00;17-562-00 Machine is unable to contact the remote Xerox SMart eSolutions Communication Server. User intervention is required to review SMart eSolutions settings. Device services are unaffected.;468966;5;37;319
MFP-00077;9c934e5715bc;Xerox WorkCentre 5845;2026-01-08 07:00:12;07-535-00;07-535-00 Tray 5 (Bypass) is empty. User intervention is required to add paper to Tray 5. Print and Copy services can continue if the correct paper is available in other trays.;468966;5;37;319
MFP-00077;9c934e5715bc;Xerox WorkCentre 5845;2026-01-08 07:00:12;17-562-00;17-562-00 Machine is unable to contact the remote Xerox SMart eSolutions Communication Server. User intervention is required to review SMart eSolutions settings. Device services are unaffected.;468966;5;37;319
MFP-00077;9c934e5715bc;Xerox WorkCentre 5845;2026-01-08 08:00:12;07-535-00;07-535-00 Tray 5 (Bypass) is empty. User intervention is required to add paper to Tray 5. Print and Copy services can continue if the correct paper is available in other trays.;468966;5;37;319
MFP-00080;9c934e94c4ef;Xerox AltaLink B8045;2026-01-08 06:00:12;75-530-00;75-530-00 Tray 5 is empty. User intervention is required to add paper to Tray 5. Print and Copy services can continue if the correct paper is available in other trays.;192339;48;69;156
MFP-00080;9c934e94c4ef;Xerox AltaLink B8045;2026-01-08 07:00:12;75-530-00;75-530-00 Tray 5 is empty. User intervention is required to add paper to Tray 5. Print and Copy services can continue if the correct paper is available in other trays.;192339;48;69;156
MFP-00080;9c934e94c4ef;Xerox AltaLink B8045;2026-01-08 08:00:12;75-530-00;75-530-00 Tray 5 is empty. User intervention is required to add paper to Tray 5. Print and Copy services can continue if the correct paper is available in other trays.;192339;48;69;156
MFP-00080;9c934e94c4ef;Xerox AltaLink B8045;2026-01-08 09:00:12;75-530-00;75-530-00 Tray 5 is empty. User intervention is required to add paper to Tray 5. Print and Copy services can continue if the correct paper is available in other trays.;192339;48;69;156
MFP-00080;9c934e94c4ef;Xerox AltaLink B8045;2026-01-08 10:00:12;75-530-00;75-530-00 Tray 5 is empty. User intervention is required to add paper to Tray 5. Print and Copy services can continue if the correct paper is available in other trays.;192339;48;69;156
MFP-00088;9c934e94f9cf;Xerox AltaLink B8045;2026-01-12 07:00:01;75-530-00;75-530-00 Tray 5 is empty. User intervention is required to add paper to Tray 5. Print and Copy services can continue if the correct paper is available in other trays.;258398;50;70;152
MFP-00088;9c934e94f9cf;Xerox AltaLink B8045;2026-01-12 08:00:12;75-530-00;75-530-00 Tray 5 is empty. User intervention is required to add paper to Tray 5. Print and Copy services can continue if the correct paper is available in other trays.;258398;50;70;152
MFP-00088;9c934e94f9cf;Xerox AltaLink B8045;2026-01-12 09:00:13;73-530-00;73-530-00 Tray 3 is empty. User intervention is required to add paper to Tray 3. Print and Copy services can continue if the correct paper is available in other trays.;258398;50;70;152
MFP-00088;9c934e94f9cf;Xerox AltaLink B8045;2026-01-12 09:00:13;75-530-00;75-530-00 Tray 5 is empty. User intervention is required to add paper to Tray 5. Print and Copy services can continue if the correct paper is available in other trays.;258398;50;70;152
MFP-00088;9c934e94f9cf;Xerox AltaLink B8045;2026-01-12 10:00:13;73-530-00;73-530-00 Tray 3 is empty. User intervention is required to add paper to Tray 3. Print and Copy services can continue if the correct paper is available in other trays.;258398;50;70;152
MFP-00099;9c934e94fb74;Xerox AltaLink B8045;2026-01-12 08:00:01;75-530-00;75-530-00 Tray 5 is empty. User intervention is required to add paper to Tray 5. Print and Copy services can continue if the correct paper is available in other trays.;261800;65;79;106
MFP-00099;9c934e94fb74;Xerox AltaLink B8045;2026-01-12 09:00:13;75-530-00;75-530-00 Tray 5 is empty. User intervention is required to add paper to Tray 5. Print and Copy services can continue if the correct paper is available in other trays.;261800;65;79;106
MFP-00099;9c934e94fb74;Xerox AltaLink B8045;2026-01-12 10:00:13;75-530-00;75-530-00 Tray 5 is empty. User intervention is required to add paper to Tray 5. Print and Copy services can continue if the correct paper is available in other trays.;261800;65;79;106
MFP-00099;9c934e94fb74;Xerox AltaLink B8045;2026-01-12 11:00:13;75-530-00;75-530-00 Tray 5 is empty. User intervention is required to add paper to Tray 5. Print and Copy services can continue if the correct paper is available in other trays.;261800;65;79;106
MFP-00099;9c934e94fb74;Xerox AltaLink B8045;2026-01-12 12:00:12;75-530-00;75-530-00 Tray 5 is empty. User intervention is required to add paper to Tray 5. Print and Copy services can continue if the correct paper is available in other trays.;261800;65;79;106
MFP-00112;9c934e94fa0d;Xerox AltaLink B8045;2026-01-08 06:00:14;75-530-00;75-530-00 Tray 5 is empty. User intervention is required to add paper to Tray 5. Print and Copy services can continue if the correct paper is available in other trays.;302311;57;74;131
MFP-00112;9c934e94fa0d;Xerox AltaLink B8045;2026-01-08 07:00:13;75-530-00;75-530-00 Tray 5 is empty. User intervention is required to add paper to Tray 5. Print and Copy services can continue if the correct paper is available in other trays.;302311;57;74;131
MFP-00112;9c934e94fa0d;Xerox AltaLink B8045;2026-01-08 08:00:13;75-530-00;75-530-00 Tray 5 is empty. User intervention is required to add paper to Tray 5. Print and Copy services can continue if the correct paper is available in other trays.;302311;57;74;131
MFP-00112;9c934e94fa0d;Xerox AltaLink B8045;2026-01-08 09:00:14;75-530-00;75-530-00 Tray 5 is empty. User intervention is required to add paper to Tray 5. Print and Copy services can continue if the correct paper is available in other trays.;302311;57;74;131
MFP-00112;9c934e94fa0d;Xerox AltaLink B8045;2026-01-08 10:00:13;75-530-00;75-530-00 Tray 5 is empty. User intervention is required to add paper to Tray 5. Print and Copy services can continue if the correct paper is available in other trays.;302311;57;74;131
MFP-00122;9c934e94fb73;Xerox AltaLink B8045;2026-01-08 06:00:15;72-535-00;72-535-00 Tray 2 is nearly empty. User intervention is required to add paper to the tray. Device services are unaffected.;317396;20;52;241
MFP-00122;9c934e94fb73;Xerox AltaLink B8045;2026-01-08 06:00:15;75-530-00;75-530-00 Tray 5 is empty. User intervention is required to add paper to Tray 5. Print and Copy services can continue if the correct paper is available in other trays.;317396;20;52;241
MFP-00122;9c934e94fb73;Xerox AltaLink B8045;2026-01-08 07:00:13;72-535-00;72-535-00 Tray 2 is nearly empty. User intervention is required to add paper to the tray. Device services are unaffected.;317396;20;52;241
MFP-00122;9c934e94fb73;Xerox AltaLink B8045;2026-01-08 07:00:13;75-530-00;75-530-00 Tray 5 is empty. User intervention is required to add paper to Tray 5. Print and Copy services can continue if the correct paper is available in other trays.;317396;20;52;241
MFP-00122;9c934e94fb73;Xerox AltaLink B8045;2026-01-08 08:00:13;72-535-00;72-535-00 Tray 2 is nearly empty. User intervention is required to add paper to the tray. Device services are unaffected.;317396;20;52;241
MFP-00125;9c934e98b566;Xerox AltaLink B8045;2026-01-08 06:00:15;75-530-00;75-530-00 Tray 5 is empty. User intervention is required to add paper to Tray 5. Print and Copy services can continue if the correct paper is available in other trays.;177296;35;61;195
MFP-00125;9c934e98b566;Xerox AltaLink B8045;2026-01-08 07:00:13;75-530-00;75-530-00 Tray 5 is empty. User intervention is required to add paper to Tray 5. Print and Copy services can continue if the correct paper is available in other trays.;177296;35;61;195
MFP-00125;9c934e98b566;Xerox AltaLink B8045;2026-01-08 08:00:13;75-530-00;75-530-00 Tray 5 is empty. User intervention is required to add paper to Tray 5. Print and Copy services can continue if the correct paper is available in other trays.;177296;35;61;195
MFP-00125;9c934e98b566;Xerox AltaLink B8045;2026-01-08 09:00:15;75-530-00;75-530-00 Tray 5 is empty. User intervention is required to add paper to Tray 5. Print and Copy services can continue if the correct paper is available in other trays.;177296;35;61;195
MFP-00125;9c934e98b566;Xerox AltaLink B8045;2026-01-08 10:00:13;75-530-00;75-530-00 Tray 5 is empty. User intervention is required to add paper to Tray 5. Print and Copy services can continue if the correct paper is available in other trays.;177296;35;61;195
MFP-00127;9c934e94f997;Xerox AltaLink B8045;2026-01-08 06:00:15;09-594-00;"09-594-00 The Print Cartridge (R2) is near end of life. User intervention is required to reorder Print Cartridge (R2); do not replace until prompted. Device services are unaffected.";73370;5;41;299
MFP-00127;9c934e94f997;Xerox AltaLink B8045;2026-01-08 06:00:15;75-530-00;75-530-00 Tray 5 is empty. User intervention is required to add paper to Tray 5. Print and Copy services can continue if the correct paper is available in other trays.;73370;5;41;299
MFP-00127;9c934e94f997;Xerox AltaLink B8045;2026-01-08 07:00:13;09-594-00;"09-594-00 The Print Cartridge (R2) is near end of life. User intervention is required to reorder Print Cartridge (R2); do not replace until prompted. Device services are unaffected.";73370;5;41;299
MFP-00127;9c934e94f997;Xerox AltaLink B8045;2026-01-08 07:00:13;75-530-00;75-530-00 Tray 5 is empty. User intervention is required to add paper to Tray 5. Print and Copy services can continue if the correct paper is available in other trays.;73370;5;41;299
MFP-00127;9c934e94f997;Xerox AltaLink B8045;2026-01-08 08:00:13;09-594-00;"09-594-00 The Print Cartridge (R2) is near end of life. User intervention is required to reorder Print Cartridge (R2); do not replace until prompted. Device services are unaffected.";73370;5;41;299
MFP-00129;9c934e94f95d;Xerox AltaLink B8045;2026-01-08 06:00:15;72-535-00;72-535-00 Tray 2 is nearly empty. User intervention is required to add paper to the tray. Device services are unaffected.;357284;5;17;415
MFP-00129;9c934e94f95d;Xerox AltaLink B8045;2026-01-08 06:00:15;73-530-00;73-530-00 Tray 3 is empty. User intervention is required to add paper to Tray 3. Print and Copy services can continue if the correct paper is available in other trays.;357284;5;17;415
MFP-00129;9c934e94f95d;Xerox AltaLink B8045;2026-01-08 06:00:15;75-530-00;75-530-00 Tray 5 is empty. User intervention is required to add paper to Tray 5. Print and Copy services can continue if the correct paper is available in other trays.;357284;5;17;415
MFP-00129;9c934e94f95d;Xerox AltaLink B8045;2026-01-08 07:00:13;72-535-00;72-535-00 Tray 2 is nearly empty. User intervention is required to add paper to the tray. Device services are unaffected.;357284;5;17;415
MFP-00129;9c934e94f95d;Xerox AltaLink B8045;2026-01-08 07:00:13;73-530-00;73-530-00 Tray 3 is empty. User intervention is required to add paper to Tray 3. Print and Copy services can continue if the correct paper is available in other trays.;357284;5;17;415
MFP-00131;9c934e94fb7b;Xerox AltaLink B8045;2026-01-13 10:00:01;16-535-00;"16-535-00 Immediate Image Overwrite error. Administrator intervention is required to perform an On Demand Image Overwrite immediately. Print service can continue; other machine services are unaffected";215378;83;90;53
MFP-00131;9c934e94fb7b;Xerox AltaLink B8045;2026-01-13 11:00:03;75-530-00;75-530-00 Tray 5 is empty. User intervention is required to add paper to Tray 5. Print and Copy services can continue if the correct paper is available in other trays.;215378;83;90;53
MFP-00131;9c934e94fb7b;Xerox AltaLink B8045;2026-01-13 11:00:04;16-535-00;"16-535-00 Immediate Image Overwrite error. Administrator intervention is required to perform an On Demand Image Overwrite immediately. Print service can continue; other machine services are unaffected";215378;83;90;53
MFP-00131;9c934e94fb7b;Xerox AltaLink B8045;2026-01-13 12:00:05;16-535-00;"16-535-00 Immediate Image Overwrite error. Administrator intervention is required to perform an On Demand Image Overwrite immediately. Print service can continue; other machine services are unaffected";215378;83;90;53
MFP-00131;9c934e94fb7b;Xerox AltaLink B8045;2026-01-13 12:00:05;75-530-00;75-530-00 Tray 5 is empty. User intervention is required to add paper to Tray 5. Print and Copy services can continue if the correct paper is available in other trays.;215378;83;90;53
